name,size,percent_used,index_scans,seq_scans,unused
public.pay_stub_additional_lines_stub_session_uniq,16 kB,0%,0,0,t
public.idx_bids_takeoff_template_mappings_count_row_id,16 kB,0%,0,0,t
public.idx_stripe_oob_payment_reverts_job_id,16 kB,0%,0,0,t
public.idx_master_assistants_assistant_id,16 kB,100%,92754,0,f
public.people_labor_jobs_pkey,16 kB,100%,47,0,f
public.stripe_oob_payment_reverts_pkey,16 kB,0%,0,0,t
public.pay_stub_payments_pkey,16 kB,0%,0,0,t
public.idx_user_app_activity_daily_activity_date,16 kB,0%,0,0,t
public.idx_estimate_customer_events_estimate_occurred,16 kB,0%,0,0,t
public.idx_jobs_ledger_last_work_date,16 kB,0%,0,0,t
public.mercury_account_nicknames_pkey,16 kB,0%,0,0,t
public.checklist_tech_tree_groups_pkey,16 kB,0%,0,0,t
public.idx_jobs_ledger_service_type_id,16 kB,0%,0,0,t
public.person_contract_assignments_pkey,16 kB,0%,0,0,t
public.checklist_items_pkey,16 kB,0%,0,0,t
public.team_leader_assignments_unique_pair,16 kB,0%,0,0,t
public.stripe_webhook_events_received_at_idx,16 kB,0%,0,0,t
public.idx_project_superintendents_superintendent_id,16 kB,0%,0,0,t
public.idx_bids_takeoff_rough_part_lines_source_price_id,16 kB,0%,0,0,t
public.idx_team_leader_clock_notify_prefs_assignment,16 kB,100%,1,0,f
public.takeoff_book_entry_items_pkey,16 kB,0%,0,0,t
public.idx_report_reads_user_id,16 kB,0%,0,0,t
public.user_app_activity_viewers_pkey,16 kB,0%,0,0,t
public.idx_labor_book_versions_name,16 kB,0%,0,0,t
public.user_pinned_tabs_pkey,16 kB,0%,0,0,t
public.idx_job_book_entries_sequence,16 kB,0%,0,0,t
public.purchase_orders_pkey,16 kB,0%,0,0,t
public.idx_stripe_oob_payment_reverts_invoice_id,16 kB,0%,0,0,t
public.dispatch_requests_pkey,16 kB,0%,0,0,t
public.estimate_catalog_items_pkey,16 kB,0%,0,0,t
public.idx_reports_project,16 kB,0%,0,0,t
public.labor_book_entries_pkey,16 kB,0%,0,0,t
public.estimates_pkey,16 kB,0%,0,0,t
public.idx_report_template_fields_template,16 kB,0%,0,0,t
public.quickfill_section_mark_events_pkey,16 kB,0%,0,0,t
public.bid_working_board_columns_pkey,16 kB,0%,0,0,t
public.idx_bids_gc_builder_id,16 kB,0%,0,0,t
public.jobs_ledger_payments_pkey,16 kB,0%,0,0,t
public.estimate_customer_events_pkey,16 kB,0%,0,0,t
public.takeoff_book_entries_pkey,16 kB,0%,0,0,t
public.idx_prospect_callbacks_user_id,16 kB,100%,1,0,f
public.idx_bids_takeoff_rough_part_lines_count_row_id,16 kB,0%,0,0,t
public.idx_jobs_ledger_invoices_status,16 kB,100%,1,0,f
public.team_feedback_settings_pkey,16 kB,100%,4,0,f
public.idx_person_contract_documents_person_lineage,16 kB,0%,0,0,t
public.checklist_tech_tree_group_tasks_pkey,16 kB,0%,0,0,t
public.idx_customers_master_user_id,16 kB,0%,0,0,t
public.people_teams_pkey,16 kB,0%,0,0,t
public.idx_workflow_step_line_items_step_id,16 kB,0%,0,0,t
public.idx_purchase_orders_supply_house_id,16 kB,0%,0,0,t
public.idx_pay_stub_additional_lines_pay_stub_id,16 kB,0%,0,0,t
public.idx_project_workflow_steps_workflow_id,16 kB,0%,0,0,t
public.labor_book_versions_pkey,16 kB,0%,0,0,t
public.user_prospect_quick_notes_pkey,16 kB,0%,0,0,t
public.mercury_transaction_ar_returned_pkey,16 kB,100%,114,0,f
public.material_template_items_unique_part_per_template,16 kB,0%,0,0,t
public.people_team_members_pkey,16 kB,0%,0,0,t
public.idx_material_template_items_nested_template_id,16 kB,0%,0,0,t
public.idx_project_workflows_project_id,16 kB,100%,6,0,f
public.person_licenses_pkey,16 kB,0%,0,0,t
public.idx_material_template_items_template_id,16 kB,0%,0,0,t
public.step_subscriptions_pkey,16 kB,0%,0,0,t
public.supply_house_invoices_pkey,16 kB,0%,0,0,t
public.idx_master_primaries_master_id,16 kB,100%,2,0,f
public.person_contract_assignments_person_name_template_id_key,16 kB,0%,0,0,t
public.idx_clock_sessions_user_open,16 kB,100%,20,0,f
public.idx_people_crew_bids_person,16 kB,0%,0,0,t
public.idx_workflow_step_line_items_sequence_order,16 kB,0%,0,0,t
public.idx_contract_template_documents_template,16 kB,100%,1,0,f
public.idx_bids_takeoff_template_mappings_bid_id,16 kB,100%,4,0,f
public.quickfill_section_marks_pkey,16 kB,0%,0,0,t
public.idx_counts_fixture_group_items_group_id,16 kB,0%,0,0,t
public.user_prospect_quick_notes_user_id_label_key,16 kB,0%,0,0,t
public.people_cost_matrix_tags_pkey,16 kB,0%,0,0,t
public.idx_material_templates_assembly_type_id,16 kB,0%,0,0,t
public.prospect_email_sent_pkey,16 kB,0%,0,0,t
public.bids_takeoff_template_mappings_pkey,16 kB,0%,0,0,t
public.idx_person_contract_documents_person,16 kB,0%,0,0,t
public.idx_material_template_items_sequence_order,16 kB,0%,0,0,t
public.idx_purchase_orders_name,16 kB,0%,0,0,t
public.idx_project_superintendents_project_id,16 kB,0%,0,0,t
public.vehicle_replacement_value_entries_vehicle_id_read_date_key,16 kB,0%,0,0,t
public.idx_customer_contacts_customer_id,16 kB,100%,10,0,f
public.report_reads_pkey,16 kB,0%,0,0,t
public.idx_price_book_versions_service_type_id,16 kB,0%,0,0,t
public.jobs_ledger_invoice_stripe_email_sends_pkey,16 kB,0%,0,0,t
public.idx_pay_stub_payments_pay_stub_id,16 kB,0%,0,0,t
public.idx_cost_estimates_bid_id,16 kB,100%,5,0,f
public.workflow_template_steps_pkey,16 kB,0%,0,0,t
public.idx_team_feedback_submissions_created,16 kB,0%,0,0,t
public.estimates_job_ledger_id_unique,16 kB,100%,18,0,f
public.idx_estimator_request_notes_request_created,16 kB,0%,0,0,t
public.idx_labor_book_entries_fixture_type_id,16 kB,0%,0,0,t
public.dispatch_request_notes_pkey,16 kB,0%,0,0,t
public.hours_days_correct_pkey,16 kB,0%,0,0,t
public.idx_prospects_master_user_id,16 kB,0%,0,0,t
public.idx_fixture_types_sequence_order,16 kB,0%,0,0,t
